,email address,learning_kpi,community_kpi,action_Doing_before_the_event,action_Doing_after_the_event,action_likely_to_do,action_unlikely_to_do,env_habits,action_summary,location,postcode_event,year
1,lvad5279@uni.sydney.edu.au,0.333333333,0.6,0.142857143,0.285714286,0.142857143,0,5,1,Bondi(Dummy) Junction,2026,2021
2,kevinhou111@gmail.com,0.333333333,0,0.142857143,0.142857143,0.428571429,0.285714286,5,0.666666667,Bondi(Dummy) Junction,2026,2021
3,apple.pear@gmail.com,0.166666667,0.4,0.428571429,0.428571429,0.142857143,0,3,1,Bondi(Dummy) Junction,2026,2021
4,sam.shain@gmail.com,0.333333333,0.4,0.285714286,0.285714286,0.142857143,0.285714286,2,0.6,Bondi(Dummy) Junction,2072,2021
5,jche8189@uni.sydney.edu.au,0.166666667,0.4,0.142857143,0.428571429,0.428571429,0,4,1,Bondi(Dummy) Junction,2072,2021
6,apple@gmail.com,0.5,0.4,0.714285714,0,0.142857143,0.142857143,5,0.5,Bondi(Dummy) Junction,2072,2021
7,apple.dadad@gmail.com,0.5,0.4,0.571428571,0.285714286,0,0.142857143,5,0.666666667,Bondi(Dummy) Junction,2061,2021
8,apple.a@gmail.com,0.5,0.4,0.285714286,0.428571429,0,0.285714286,3,0.6,Bondi(Dummy) Junction,2061,2021
9,apple.bc@gmail.com,0.166666667,0.4,0.285714286,0.285714286,0.285714286,0.142857143,4,0.8,Bondi(Dummy) Junction,2061,2021
10,apple.d@gmail.com,0.5,0.4,0.285714286,0,0,0.714285714,1,0,Bondi(Dummy) Junction,2000,2021
11,apple.e@gmail.com,0.5,0.4,0.142857143,0,0,0.857142857,3,0,Bondi(Dummy) Junction,2000,2021
12,apple.f@gmail.com,0.5,0.4,0.428571429,0.428571429,0.142857143,0,5,1,Bondi(Dummy) Junction,2000,2021
13,apple.g@gmail.com,0.5,0.4,0.142857143,0.428571429,0.285714286,0.142857143,3,0.833333333,Bondi(Dummy) Junction,2065,2021
14,apple.hou@gmail.com,0.5,0.6,0.428571429,0.285714286,0.142857143,0.142857143,4,0.75,Bondi(Dummy) Junction,2065,2021
15,apple.i@gmail.com,1,0.6,0,0.571428571,0.142857143,0.285714286,2,0.714285714,Bondi(Dummy) Junction,2065,2021
16,apple.j@gmail.com,1,0.6,0,0.142857143,0.571428571,0.285714286,1,0.714285714,Bondi(Dummy) Junction,2071,2021
17,apple.k@gmail.com,1,0.6,0.142857143,0.142857143,0.142857143,0.571428571,4,0.333333333,Bondi(Dummy) Junction,2071,2021
18,apple.l@gmail.com,1,0.2,0,0.285714286,0.285714286,0.428571429,5,0.571428571,Bondi(Dummy) Junction,2071,2021
19,apple.m@gmail.com,1,0.4,0,0.142857143,0.857142857,0,2,1,Bondi(Dummy) Junction,2071,2021
20,apple.n@gmail.com,1,0.6,0.285714286,0,0.142857143,0.571428571,3,0.2,Bondi(Dummy) Junction,2071,2021
